npa,locality,canton,premium_region,bfs_number,commune,district,npa_spans_multiple_regions_flag,locality_spans_multiple_communes_flag
1053,Bretigny-sur-Morrens,VD,2,5515,Bretigny-sur-Morrens,Gros-de-Vaud,1,0
1053,Cugy VD,VD,1,5586,Lausanne,Lausanne,1,0
1053,Cugy VD,VD,2,5516,Cugy (VD),Gros-de-Vaud,1,0
1054,Morrens VD,VD,2,5527,Morrens (VD),Gros-de-Vaud,0,0
1055,Froideville,VD,2,5523,Froideville,Gros-de-Vaud,0,0
1058,Villars-Tiercelin,VD,2,5804,Jorat-Menthue,Gros-de-Vaud,0,0
1059,Peney-le-Jorat,VD,2,5673,Hermenches,Broye-Vully,0,1
1059,Peney-le-Jorat,VD,2,5804,Jorat-Menthue,Gros-de-Vaud,0,1
1061,Villars-Mendraz,VD,2,5804,Jorat-Menthue,Gros-de-Vaud,0,0
1062,Sottens,VD,2,5804,Jorat-Menthue,Gros-de-Vaud,0,0
1063,Boulens,VD,2,5661,Boulens,Gros-de-Vaud,0,1
1063,Chapelle-sur-Moudon,VD,2,5693,Montanaire,Gros-de-Vaud,0,1
1063,Martherenges,VD,2,5693,Montanaire,Gros-de-Vaud,0,1
1063,Peyres-Possens,VD,2,5804,Jorat-Menthue,Gros-de-Vaud,0,1
1063,Peyres-Possens,VD,2,5693,Montanaire,Gros-de-Vaud,0,1
1066,Epalinges,VD,1,5584,Epalinges,Lausanne,0,0
1068,Les Monts-de-Pully,VD,1,5590,Pully,Lavaux-Oron,0,0
1070,Puidoux,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1070,Puidoux,VD,1,5607,Puidoux,Lavaux-Oron,0,1
1071,Chexbres,VD,1,5601,Chexbres,Lavaux-Oron,0,1
1071,Chexbres,VD,1,5609,Rivaz,Lavaux-Oron,0,1
1071,Rivaz,VD,1,5609,Rivaz,Lavaux-Oron,0,1
1071,St-Saphorin (Lavaux),VD,1,5610,Saint-Saphorin (Lavaux),Lavaux-Oron,0,1
1072,Forel (Lavaux),VD,1,5604,Forel (Lavaux),Lavaux-Oron,0,0
1073,Mollie-Margot,VD,1,5611,Savigny,Lavaux-Oron,0,0
1073,Savigny,VD,1,5611,Savigny,Lavaux-Oron,0,0
1076,Ferlens VD,VD,2,5806,Jorat-Mézières,Lavaux-Oron,0,0
1077,Servion,VD,2,5799,Servion,Lavaux-Oron,0,0
1078,Essertes,VD,2,5805,Oron,Lavaux-Oron,0,0
1080,Les Cullayes,VD,1,5604,Forel (Lavaux),Lavaux-Oron,1,0
1080,Les Cullayes,VD,2,5799,Servion,Lavaux-Oron,1,0
1081,Montpreveyres,VD,2,5792,Montpreveyres,Lavaux-Oron,0,0
1082,Corcelles-le-Jorat,VD,2,5785,Corcelles-le-Jorat,Broye-Vully,0,0
1083,Mézières VD,VD,2,5806,Jorat-Mézières,Lavaux-Oron,0,0
1084,Carrouge VD,VD,2,5803,Vulliens,Broye-Vully,0,1
1084,Carrouge VD,VD,2,5806,Jorat-Mézières,Lavaux-Oron,0,1
1085,Vulliens,FR,2,2097,Rue,La Glâne,0,0
1085,Vulliens,VD,2,5803,Vulliens,Broye-Vully,0,0
1088,Ropraz,VD,2,5798,Ropraz,Broye-Vully,0,0
1090,La Croix (Lutry),VD,1,5611,Savigny,Lavaux-Oron,0,1
1090,La Croix (Lutry),VD,1,5606,Lutry,Lavaux-Oron,0,1
1091,Aran,VD,1,5611,Savigny,Lavaux-Oron,0,1
1091,Aran,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1091,Chenaux,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1091,Grandvaux,VD,1,5604,Forel (Lavaux),Lavaux-Oron,0,1
1091,Grandvaux,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1092,Belmont-sur-Lausanne,VD,1,5581,Belmont-sur-Lausanne,Lavaux-Oron,0,1
1092,Belmont-sur-Lausanne,VD,1,5606,Lutry,Lavaux-Oron,0,1
1093,La Conversion,VD,1,5606,Lutry,Lavaux-Oron,0,0
1094,Paudex,VD,1,5588,Paudex,Lavaux-Oron,0,0
1095,Lutry,VD,1,5588,Paudex,Lavaux-Oron,0,1
1095,Lutry,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1095,Lutry,VD,1,5606,Lutry,Lavaux-Oron,0,1
1096,Cully,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1096,Cully,VD,1,5607,Puidoux,Lavaux-Oron,0,1
1096,Villette (Lavaux),VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1097,Riex,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,0
1098,Epesses,VD,1,5613,Bourg-en-Lavaux,Lavaux-Oron,0,1
1098,Epesses,VD,1,5607,Puidoux,Lavaux-Oron,0,1
1110,Morges,VD,1,5642,Morges,Morges,0,0
1112,Echichens,VD,1,5634,Echichens,Morges,0,0
1113,St-Saphorin-sur-Morges,VD,1,5634,Echichens,Morges,0,0
1114,Colombier VD,VD,1,5634,Echichens,Morges,0,0
1115,Vullierens,VD,1,5654,Vullierens,Morges,0,0
1116,Cottens VD,VD,2,5656,Hautemorges,Morges,0,0
1117,Grancy,VD,2,5485,Grancy,Morges,0,0
1121,Bremblens,VD,1,5622,Bremblens,Morges,0,0
1122,Romanel-sur-Morges,VD,1,5645,Romanel-sur-Morges,Morges,0,0
1123,Aclens,VD,1,5621,Aclens,Morges,0,0
1124,Gollion,VD,2,5484,Gollion,Morges,0,0
1125,Monnaz,VD,1,5634,Echichens,Morges,0,0
1126,Vaux-sur-Morges,VD,1,5650,Vaux-sur-Morges,Morges,0,0
1127,Clarmont,VD,1,5629,Clarmont,Morges,0,0
1128,Reverolle,VD,2,5656,Hautemorges,Morges,0,0
1131,Tolochenaz,VD,1,5649,Tolochenaz,Morges,0,0
1132,Lully VD,VD,1,5639,Lully (VD),Morges,0,0
1134,Chigny,VD,1,5628,Chigny,Morges,0,1
1134,Vufflens-le-Château,VD,1,5653,Vufflens-le-Château,Morges,0,1
1135,Denens,VD,1,5631,Denens,Morges,0,0
1136,Bussy-Chardonney,VD,2,5656,Hautemorges,Morges,0,0
1141,Sévery,VD,2,5656,Hautemorges,Morges,0,0
1142,Pampigny,VD,2,5656,Hautemorges,Morges,0,0
1143,Apples,VD,2,5656,Hautemorges,Morges,0,0
1144,Ballens,VD,1,5423,Ballens,Morges,0,0
1145,Bière,VD,1,5425,Bière,Morges,0,1
1145,Bière,VD,1,5435,Saint-Livres,Morges,0,1
1146,Mollens VD,VD,1,5431,Mollens (VD),Morges,0,0
1147,Montricher,VD,2,5492,Montricher,Morges,0,0
1148,Chavannes-le-Veyron,VD,2,5474,La Chaux (Cossonay),Morges,0,1
1148,Chavannes-le-Veyron,VD,2,5475,Chavannes-le-Veyron,Morges,0,1
1148,Cuarnens,VD,2,5479,Cuarnens,Morges,0,1
1148,L'Isle,VD,2,5486,L'Isle,Morges,0,1
1148,La Coudre,VD,2,5486,L'Isle,Morges,0,1
1148,La Praz,VD,2,5758,La Praz,Jura-Nord vaudois,0,1
1148,Mauraz,VD,2,5488,Mauraz,Morges,0,1
1148,Moiry VD,VD,2,5490,Moiry,Morges,0,1
1148,Mont-la-Ville,VD,2,5491,Mont-la-Ville,Morges,0,1
1148,Villars-Bozon,VD,2,5486,L'Isle,Morges,0,1
1149,Berolle,VD,1,5424,Berolle,Morges,0,1
1149,Berolle,VD,1,5425,Bière,Morges,0,1
1162,St-Prex,VD,1,5646,Saint-Prex,Morges,0,1
1162,St-Prex,VD,1,5639,Lully (VD),Morges,0,1
1163,Etoy,VD,1,5636,Etoy,Morges,0,0
1164,Buchillon,VD,1,5623,Buchillon,Morges,0,0
1165,Allaman,VD,1,5851,Allaman,Morges,0,0
1166,Perroy,VD,1,5427,Féchy,Morges,0,1
1166,Perroy,VD,1,5860,Perroy,Nyon,0,1
1167,Lussy-sur-Morges,VD,1,5640,Lussy-sur-Morges,Morges,0,0
1168,Villars-sous-Yens,VD,1,5652,Villars-sous-Yens,Morges,0,0
1169,Yens,VD,1,5655,Yens,Morges,0,0
1170,Aubonne,VD,1,5637,Lavigny,Morges,0,1
1170,Aubonne,VD,1,5422,Aubonne,Morges,0,1
1172,Bougy-Villars,VD,1,5426,Bougy-Villars,Morges,0,1
1172,Bougy-Villars,VD,1,5422,Aubonne,Morges,0,1
1173,Féchy,VD,1,5427,Féchy,Morges,0,0
1174,Montherod,VD,1,5422,Aubonne,Morges,0,0
1174,Pizy,VD,1,5422,Aubonne,Morges,0,0
1175,Lavigny,VD,1,5637,Lavigny,Morges,0,0
1176,St-Livres,VD,1,5435,Saint-Livres,Morges,0,0
1180,Rolle,VD,1,5856,Essertines-sur-Rolle,Nyon,0,1
1180,Rolle,VD,1,5857,Gilly,Nyon,0,1
1180,Rolle,VD,1,5861,Rolle,Nyon,0,1
1180,Tartegnin,VD,1,5856,Essertines-sur-Rolle,Nyon,0,1
1180,Tartegnin,VD,1,5862,Tartegnin,Nyon,0,1
1182,Gilly,VD,1,5857,Gilly,Nyon,0,0
1183,Bursins,VD,1,5857,Gilly,Nyon,0,1
1183,Bursins,VD,1,5853,Bursins,Nyon,0,1
1184,Luins,VD,1,5858,Luins,Nyon,0,1
1184,Vinzel,VD,1,5863,Vinzel,Nyon,0,1
1185,Mont-sur-Rolle,VD,1,5859,Mont-sur-Rolle,Nyon,0,0
1186,Essertines-sur-Rolle,VD,1,5856,Essertines-sur-Rolle,Nyon,0,1
1186,Essertines-sur-Rolle,VD,1,5857,Gilly,Nyon,0,1
1187,St-Oyens,VD,1,5436,Saint-Oyens,Morges,0,0
1188,Gimel,VD,1,5428,Gimel,Morges,0,1
1188,St-George,VD,1,5434,Saint-George,Nyon,0,1
1189,Saubraz,VD,1,5437,Saubraz,Morges,0,0
1195,Bursinel,VD,1,5857,Gilly,Nyon,0,1
1195,Bursinel,VD,1,5852,Bursinel,Nyon,0,1
1195,Dully,VD,1,5855,Dully,Nyon,0,1
1196,Gland,VD,1,5721,Gland,Nyon,0,0
1197,Prangins,VD,1,5725,Prangins,Nyon,0,0
1201,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1202,Genève,GE,0,6634,Pregny-Chambésy,Cant. de Genève,0,1
1202,Genève,GE,0,6621,Genève,Cant. de Genève,0,1
1203,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1204,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1205,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1206,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1207,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1208,Genève,GE,0,6621,Genève,Cant. de Genève,0,0
1209,Genève,GE,0,6643,Vernier,Cant. de Genève,0,1
1209,Genève,GE,0,6621,Genève,Cant. de Genève,0,1
1209,Genève,GE,0,6623,Le Grand-Saconnex,Cant. de Genève,0,1
1212,Grand-Lancy,GE,0,6633,Plan-les-Ouates,Cant. de Genève,0,1
1212,Grand-Lancy,GE,0,6628,Lancy,Cant. de Genève,0,1
1212,Grand-Lancy,GE,0,6631,Onex,Cant. de Genève,0,1
1213,Onex,GE,0,6628,Lancy,Cant. de Genève,0,1
1213,Onex,GE,0,6631,Onex,Cant. de Genève,0,1
1213,Petit-Lancy,GE,0,6628,Lancy,Cant. de Genève,0,1
1213,Petit-Lancy,GE,0,6631,Onex,Cant. de Genève,0,1
1213,Petit-Lancy,GE,0,6607,Bernex,Cant. de Genève,0,1
1213,Petit-Lancy,GE,0,6618,Confignon,Cant. de Genève,0,1
1213,Petit-Lancy,GE,0,6621,Genève,Cant. de Genève,0,1
1214,Vernier,GE,0,6643,Vernier,Cant. de Genève,0,1
1214,Vernier,GE,0,6638,Satigny,Cant. de Genève,0,1
1214,Vernier,GE,0,6630,Meyrin,Cant. de Genève,0,1
1216,Cointrin,GE,0,6643,Vernier,Cant. de Genève,0,1
1216,Cointrin,GE,0,6630,Meyrin,Cant. de Genève,0,1
1216,Cointrin,GE,0,6623,Le Grand-Saconnex,Cant. de Genève,0,1
1217,Meyrin,GE,0,6630,Meyrin,Cant. de Genève,0,0
1218,Le Grand-Saconnex,GE,0,6621,Genève,Cant. de Genève,0,1
1218,Le Grand-Saconnex,GE,0,6623,Le Grand-Saconnex,Cant. de Genève,0,1
1219,Aïre,GE,0,6643,Vernier,Cant. de Genève,0,0
1219,Châtelaine,GE,0,6643,Vernier,Cant. de Genève,0,0
1219,Le Lignon,GE,0,6643,Vernier,Cant. de Genève,0,0
1220,Les Avanchets,GE,0,6643,Vernier,Cant. de Genève,0,0
1222,Vésenaz,GE,0,6616,Collonge-Bellerive,Cant. de Genève,0,1
1222,Vésenaz,GE,0,6617,Cologny,Cant. de Genève,0,1
1223,Cologny,GE,0,6617,Cologny,Cant. de Genève,0,1
1223,Cologny,GE,0,6642,Vandoeuvres,Cant. de Genève,0,1
1224,Chêne-Bougeries,GE,0,6612,Chêne-Bougeries,Cant. de Genève,0,0
1225,Chêne-Bourg,GE,0,6613,Chêne-Bourg,Cant. de Genève,0,0
1226,Thônex,GE,0,6640,Thônex,Cant. de Genève,0,1
1226,Thônex,GE,0,6613,Chêne-Bourg,Cant. de Genève,0,1
1227,Carouge GE,GE,0,6608,Carouge (GE),Cant. de Genève,0,1
1227,Carouge GE,GE,0,6628,Lancy,Cant. de Genève,0,1
1227,Carouge GE,GE,0,6621,Genève,Cant. de Genève,0,1
1227,Les Acacias,GE,0,6608,Carouge (GE),Cant. de Genève,0,1
1227,Les Acacias,GE,0,6628,Lancy,Cant. de Genève,0,1
1227,Les Acacias,GE,0,6621,Genève,Cant. de Genève,0,1
1228,Plan-les-Ouates,GE,0,6633,Plan-les-Ouates,Cant. de Genève,0,1
1228,Plan-les-Ouates,GE,0,6618,Confignon,Cant. de Genève,0,1
1228,Plan-les-Ouates,GE,0,6628,Lancy,Cant. de Genève,0,1
1231,Conches,GE,0,6612,Chêne-Bougeries,Cant. de Genève,0,1
1231,Conches,GE,0,6621,Genève,Cant. de Genève,0,1
1232,Confignon,GE,0,6618,Confignon,Cant. de Genève,0,1
1232,Confignon,GE,0,6607,Bernex,Cant. de Genève,0,1
1233,Bernex,GE,0,6607,Bernex,Cant. de Genève,0,0
1234,Vessy,GE,0,6645,Veyrier,Cant. de Genève,0,0
1236,Cartigny,GE,0,6609,Cartigny,Cant. de Genève,0,1
1236,Cartigny,GE,0,6627,Laconnex,Cant. de Genève,0,1
1236,Cartigny,GE,0,6604,Avusy,Cant. de Genève,0,1
1236,Cartigny,GE,0,6607,Bernex,Cant. de Genève,0,1
1237,Avully,GE,0,6603,Avully,Cant. de Genève,0,0
1239,Collex,GE,0,6615,Collex-Bossy,Cant. de Genève,0,0
1241,Puplinge,GE,0,6636,Puplinge,Cant. de Genève,0,0
1242,Satigny,GE,0,6638,Satigny,Cant. de Genève,0,0
1243,Presinge,GE,0,6635,Presinge,Cant. de Genève,0,0
1244,Choulex,GE,0,6614,Choulex,Cant. de Genève,0,0
1245,Collonge-Bellerive,GE,0,6616,Collonge-Bellerive,Cant. de Genève,0,0
1246,Corsier GE,GE,0,6616,Collonge-Bellerive,Cant. de Genève,0,1
1246,Corsier GE,GE,0,6619,Corsier (GE),Cant. de Genève,0,1
1247,Anières,GE,0,6602,Anières,Cant. de Genève,0,0
1248,Hermance,GE,0,6625,Hermance,Cant. de Genève,0,0
1251,Gy,GE,0,6624,Gy,Cant. de Genève,0,0
1252,Meinier,GE,0,6629,Meinier,Cant. de Genève,0,0
1253,Vandoeuvres,GE,0,6642,Vandoeuvres,Cant. de Genève,0,1
1253,Vandoeuvres,GE,0,6612,Chêne-Bougeries,Cant. de Genève,0,1
1254,Jussy,GE,0,6624,Gy,Cant. de Genève,0,1
1254,Jussy,GE,0,6626,Jussy,Cant. de Genève,0,1
1255,Veyrier,GE,0,6641,Troinex,Cant. de Genève,0,1
1255,Veyrier,GE,0,6645,Veyrier,Cant. de Genève,0,1
1256,Troinex,GE,0,6633,Plan-les-Ouates,Cant. de Genève,0,1
1256,Troinex,GE,0,6628,Lancy,Cant. de Genève,0,1
1256,Troinex,GE,0,6641,Troinex,Cant. de Genève,0,1
1257,La Croix-de-Rozon,GE,0,6641,Troinex,Cant. de Genève,0,1
1257,La Croix-de-Rozon,GE,0,6633,Plan-les-Ouates,Cant. de Genève,0,1
1257,La Croix-de-Rozon,GE,0,6605,Bardonnex,Cant. de Genève,0,1
1258,Perly,GE,0,6632,Perly-Certoux,Cant. de Genève,0,1
1258,Perly,GE,0,6605,Bardonnex,Cant. de Genève,0,1
1260,Nyon,VD,1,5724,Nyon,Nyon,0,1
1260,Nyon,VD,1,5725,Prangins,Nyon,0,1
1261,Le Vaud,VD,1,5731,Le Vaud,Nyon,0,1
1261,Longirod,VD,1,5429,Longirod,Nyon,0,1
1261,Marchissy,VD,1,5430,Marchissy,Nyon,0,1
1262,Eysins,VD,1,5716,Eysins,Nyon,0,0
1263,Crassier,VD,1,5714,Crassier,Nyon,0,0
1264,St-Cergue,VD,1,5702,Arzier-Le Muids,Nyon,0,1
1264,St-Cergue,VD,1,5727,Saint-Cergue,Nyon,0,1
1265,La Cure,VD,1,5727,Saint-Cergue,Nyon,0,0
1266,Duillier,VD,1,5715,Duillier,Nyon,0,0
1267,Coinsins,VD,1,5710,Coinsins,Nyon,0,1
1267,Vich,VD,1,5732,Vich,Nyon,0,1
1268,Begnins,VD,1,5704,Begnins,Nyon,0,1
1268,Burtigny,VD,1,5853,Bursins,Nyon,0,1
1268,Burtigny,VD,1,5854,Burtigny,Nyon,0,1
1268,Burtigny,VD,1,5863,Vinzel,Nyon,0,1
1269,Bassins,VD,1,5703,Bassins,Nyon,0,0
1270,Trélex,VD,1,5730,Trélex,Nyon,0,0
1271,Givrins,VD,1,5720,Givrins,Nyon,0,0
1272,Genolier,VD,1,5720,Givrins,Nyon,0,1
1272,Genolier,VD,1,5718,Genolier,Nyon,0,1
1273,Arzier-Le Muids,VD,1,5702,Arzier-Le Muids,Nyon,0,0
1274,Grens,VD,1,5722,Grens,Nyon,0,1
1274,Signy,VD,1,5728,Signy-Avenex,Nyon,0,1
1275,Chéserex,VD,1,5709,Chéserex,Nyon,0,1
1275,Chéserex,VD,1,5726,La Rippe,Nyon,0,1
1276,Gingins,VD,1,5727,Saint-Cergue,Nyon,0,1
1276,Gingins,VD,1,5719,Gingins,Nyon,0,1
1277,Arnex-sur-Nyon,VD,1,5701,Arnex-sur-Nyon,Nyon,0,1
1277,Borex,VD,1,5706,Borex,Nyon,0,1
1278,La Rippe,VD,1,5726,La Rippe,Nyon,0,0
1279,Bogis-Bossey,VD,1,5705,Bogis-Bossey,Nyon,0,1
1279,Chavannes-de-Bogis,VD,1,5707,Chavannes-de-Bogis,Nyon,0,1
1281,Russin,GE,0,6637,Russin,Cant. de Genève,0,1
1281,Russin,GE,0,6638,Satigny,Cant. de Genève,0,1
1283,Dardagny,GE,0,6620,Dardagny,Cant. de Genève,0,0
1283,La Plaine,GE,0,6620,Dardagny,Cant. de Genève,0,0
1284,Chancy,GE,0,6611,Chancy,Cant. de Genève,0,0
1285,Athenaz (Avusy),GE,0,6611,Chancy,Cant. de Genève,0,1
1285,Athenaz (Avusy),GE,0,6604,Avusy,Cant. de Genève,0,1
1286,Soral,GE,0,6639,Soral,Cant. de Genève,0,1
1286,Soral,GE,0,6607,Bernex,Cant. de Genève,0,1
1287,Laconnex,GE,0,6627,Laconnex,Cant. de Genève,0,0
1288,Aire-la-Ville,GE,0,6601,Aire-la-Ville,Cant. de Genève,0,0
1290,Chavannes-des-Bois,VD,1,5708,Chavannes-des-Bois,Nyon,1,0
1290,Versoix,GE,0,6644,Versoix,Cant. de Genève,1,0
1290,Versoix,VD,1,5723,Mies,Nyon,1,0
1290,Versoix,VD,1,5708,Chavannes-des-Bois,Nyon,1,0
1290,Versoix,GE,0,6615,Collex-Bossy,Cant. de Genève,1,0
1291,Commugny,VD,1,5711,Commugny,Nyon,0,0
1292,Chambésy,GE,0,6634,Pregny-Chambésy,Cant. de Genève,0,1
1292,Chambésy,GE,0,6621,Genève,Cant. de Genève,0,1
1292,Chambésy,GE,0,6606,Bellevue,Cant. de Genève,0,1
1293,Bellevue,GE,0,6622,Genthod,Cant. de Genève,0,1
1293,Bellevue,GE,0,6606,Bellevue,Cant. de Genève,0,1
1294,Genthod,GE,0,6622,Genthod,Cant. de Genève,0,0
1295,Mies,VD,1,5723,Mies,Nyon,0,1
1295,Tannay,VD,1,5729,Tannay,Nyon,0,1
1296,Coppet,VD,1,5712,Coppet,Nyon,0,0
1297,Founex,VD,1,5712,Coppet,Nyon,0,1
1297,Founex,VD,1,5717,Founex,Nyon,0,1
1298,Céligny,GE,0,6610,Céligny,Cant. de Genève,0,0
1299,Crans VD,VD,1,5713,Crans (VD),Nyon,0,0
1302,Vufflens-la-Ville,VD,2,5503,Vufflens-la-Ville,Gros-de-Vaud,0,0
1303,Penthaz,VD,2,5496,Penthaz,Gros-de-Vaud,0,0
1304,Allens,VD,2,5477,Cossonay,Morges,0,1
1304,Cossonay-Ville,VD,2,5477,Cossonay,Morges,0,1
1304,Dizy,VD,2,5481,Dizy,Morges,0,1
1304,Senarclens,VD,2,5499,Senarclens,Morges,0,1
1305,Penthalaz,VD,2,5495,Penthalaz,Gros-de-Vaud,0,0
1306,Daillens,VD,2,5480,Daillens,Gros-de-Vaud,0,1
1306,Daillens,VD,2,5471,Bettens,Gros-de-Vaud,0,1
1307,Lussery-Villars,VD,2,5487,Lussery-Villars,Gros-de-Vaud,0,0
1308,La Chaux (Cossonay),VD,2,5474,La Chaux (Cossonay),Morges,0,0
1312,Eclépens,VD,2,5482,Eclépens,Morges,0,0
1313,Ferreyres,VD,2,5483,Ferreyres,Morges,0,0
1315,La Sarraz,VD,2,5498,La Sarraz,Morges,0,0
1316,Chevilly,VD,2,5474,La Chaux (Cossonay),Morges,0,1
1316,Chevilly,VD,2,5476,Chevilly,Morges,0,1
1317,Orny,VD,2,5493,Orny,Morges,0,0
1318,Pompaples,VD,2,5497,Pompaples,Morges,0,0
1321,Arnex-sur-Orbe,VD,2,5743,Arnex-sur-Orbe,Jura-Nord vaudois,0,0
1322,Croy,VD,2,5752,Croy,Jura-Nord vaudois,0,0
1323,Romainmôtier,VD,2,5761,Romainmôtier-Envy,Jura-Nord vaudois,0,0
1324,Premier,VD,2,5759,Premier,Jura-Nord vaudois,0,0
1325,Vaulion,VD,2,5491,Mont-la-Ville,Morges,0,1
1325,Vaulion,VD,2,5765,Vaulion,Jura-Nord vaudois,0,1
1326,Juriens,VD,2,5754,Juriens,Jura-Nord vaudois,0,0
1329,Bretonnières,VD,2,5748,Bretonnières,Jura-Nord vaudois,0,0
1337,Vallorbe,VD,2,5764,Vallorbe,Jura-Nord vaudois,0,0
1338,Ballaigues,VD,2,5744,Ballaigues,Jura-Nord vaudois,0,0
1341,L'Orient,VD,2,5872,Le Chenit,Jura-Nord vaudois,0,0
