npa,locality,canton,premium_region,bfs_number,commune,district,npa_spans_multiple_regions_flag,locality_spans_multiple_communes_flag
1000,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1000,Lausanne 25,VD,1,5586,Lausanne,Lausanne,0,0
1000,Lausanne 26,VD,1,5586,Lausanne,Lausanne,0,0
1000,Lausanne 27,VD,1,5586,Lausanne,Lausanne,0,0
1003,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1004,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1005,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1006,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1007,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1008,Jouxtens-Mézery,VD,1,5585,Jouxtens-Mézery,Lausanne,0,1
1008,Prilly,VD,1,5589,Prilly,Ouest lausannois,0,1
1009,Pully,VD,1,5590,Pully,Lavaux-Oron,0,0
1010,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1011,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1012,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1015,Lausanne,VD,1,5635,Ecublens (VD),Ouest lausannois,0,0
1018,Lausanne,VD,1,5586,Lausanne,Lausanne,0,0
1020,Renens VD,VD,1,5591,Renens (VD),Ouest lausannois,0,0
1022,Chavannes-près-Renens,VD,1,5627,Chavannes-près-Renens,Ouest lausannois,0,0
1023,Crissier,VD,1,5586,Lausanne,Lausanne,0,1
1023,Crissier,VD,1,5583,Crissier,Ouest lausannois,0,1
1024,Ecublens VD,VD,1,5635,Ecublens (VD),Ouest lausannois,0,0
1025,St-Sulpice VD,VD,1,5648,Saint-Sulpice (VD),Ouest lausannois,0,0
1026,Denges,VD,1,5632,Denges,Morges,0,1
1026,Echandens,VD,1,5633,Echandens,Morges,0,1
1027,Lonay,VD,1,5638,Lonay,Morges,0,0
1028,Préverenges,VD,1,5643,Préverenges,Morges,0,0
1029,Villars-Ste-Croix,VD,1,5651,Villars-Sainte-Croix,Ouest lausannois,0,0
1030,Bussigny,VD,1,5624,Bussigny,Ouest lausannois,0,0
1031,Mex VD,VD,2,5489,Mex (VD),Gros-de-Vaud,0,0
1032,Romanel-sur-Lausanne,VD,1,5592,Romanel-sur-Lausanne,Lausanne,0,1
1032,Romanel-sur-Lausanne,VD,1,5586,Lausanne,Lausanne,0,1
1033,Cheseaux-sur-Lausanne,VD,1,5586,Lausanne,Lausanne,0,1
1033,Cheseaux-sur-Lausanne,VD,1,5582,Cheseaux-sur-Lausanne,Lausanne,0,1
1033,Cheseaux-sur-Lausanne,VD,1,5583,Crissier,Ouest lausannois,0,1
1034,Boussens,VD,2,5473,Boussens,Gros-de-Vaud,0,0
1035,Bournens,VD,2,5472,Bournens,Gros-de-Vaud,0,0
1036,Sullens,VD,2,5501,Sullens,Gros-de-Vaud,0,0
1037,Etagnières,VD,2,5521,Etagnières,Gros-de-Vaud,0,0
1038,Bercher,VD,2,5512,Bercher,Gros-de-Vaud,0,1
1038,Bercher,VD,2,5693,Montanaire,Gros-de-Vaud,0,1
1038,Bercher,VD,2,5661,Boulens,Gros-de-Vaud,0,1
1040,Echallens,VD,2,5518,Echallens,Gros-de-Vaud,0,1
1040,St-Barthélemy VD,VD,2,5535,Saint-Barthélemy (VD),Gros-de-Vaud,0,1
1040,Villars-le-Terroir,VD,2,5537,Villars-le-Terroir,Gros-de-Vaud,0,1
1041,Bottens,VD,2,5514,Bottens,Gros-de-Vaud,0,1
1041,Dommartin,VD,2,5540,Montilliez,Gros-de-Vaud,0,1
1041,Montaubion-Chardonney,VD,2,5804,Jorat-Menthue,Gros-de-Vaud,0,1
1041,Naz,VD,2,5540,Montilliez,Gros-de-Vaud,0,1
1041,Poliez-Pittet,VD,2,5533,Poliez-Pittet,Gros-de-Vaud,0,1
1041,Poliez-le-Grand,VD,2,5540,Montilliez,Gros-de-Vaud,0,1
1042,Assens,VD,2,5511,Assens,Gros-de-Vaud,0,1
1042,Bettens,VD,2,5471,Bettens,Gros-de-Vaud,0,1
1042,Bioley-Orjulaz,VD,2,5511,Assens,Gros-de-Vaud,0,1
1043,Sugnens,VD,2,5540,Montilliez,Gros-de-Vaud,0,0
1044,Fey,VD,2,5522,Fey,Gros-de-Vaud,0,0
1045,Ogens,VD,2,5680,Ogens,Gros-de-Vaud,0,1
1045,Ogens,VD,2,5903,Bioley-Magnoux,Jura-Nord vaudois,0,1
1046,Rueyres,VD,2,5534,Rueyres,Gros-de-Vaud,0,0
1047,Oppens,VD,2,5923,Oppens,Gros-de-Vaud,0,0
1052,Le Mont-sur-Lausanne,VD,1,5587,Le Mont-sur-Lausanne,Lausanne,0,0
